confidence_definition,config_path,created_at_utc,dataset_hash,dataset_path,eval_script,evalset,exact_match,f1,max_steps,model,model_short,num_eval_examples,num_train_epochs,predictions_path,run_id,seed,subset_draw_id,subset_fraction,subset_size,train_budget_type,train_dataset_hash,train_dataset_path,train_run_id,train_subset,metrics_path,addsent_drop_f1,addsent_drop_em,addonesent_drop_f1,addonesent_drop_em
joint,results/round3e_bert_base/configs/bert_base__full__frac1__seed100__same_epochs.yaml,2026-05-23T01:35:28Z,sha256:fe4b4d10a7d1a5afed58183078a4fe10820af5537d4e28a82cab990673fb0d6c,data/qa/addonesent.jsonl,run.py/custom_squad_postprocess,addonesent,67.2635702294348,74.13725453079952,,bert-base-uncased,bert_base,1787,3.0,results/round3e_bert_base/predictions/bert_base__full__frac1__seed100__same_epochs__addonesent.jsonl,bert_base__full__frac1__seed100__same_epochs__addonesent,100,,1.0,87599,same_epochs,sha256:b6437a4d09a830d1e981cbffaeec7290aba72a15e419289db24e250f5ee775b1,data/qa/squad_train.jsonl,bert_base__full__frac1__seed100__same_epochs,full,results/round3e_bert_base/metrics/raw/bert_base__full__frac1__seed100__same_epochs__addonesent.json,22.46233224765713,21.390834777247456,14.091647570624346,13.22838814331827
joint,results/round3e_bert_base/configs/bert_base__full__frac1__seed100__same_epochs.yaml,2026-05-23T01:34:30Z,sha256:698ce6f7c1779b1b83d253f1c1b3fc2058f278ec4e656dae445dc5c7a7de98df,data/qa/addsent.jsonl,run.py/custom_squad_postprocess,addsent,59.10112359550562,65.76656985376674,,bert-base-uncased,bert_base,3560,3.0,results/round3e_bert_base/predictions/bert_base__full__frac1__seed100__same_epochs__addsent.jsonl,bert_base__full__frac1__seed100__same_epochs__addsent,100,,1.0,87599,same_epochs,sha256:b6437a4d09a830d1e981cbffaeec7290aba72a15e419289db24e250f5ee775b1,data/qa/squad_train.jsonl,bert_base__full__frac1__seed100__same_epochs,full,results/round3e_bert_base/metrics/raw/bert_base__full__frac1__seed100__same_epochs__addsent.json,22.46233224765713,21.390834777247456,14.091647570624346,13.22838814331827
joint,results/round3e_bert_base/configs/bert_base__full__frac1__seed100__same_epochs.yaml,2026-05-23T01:33:28Z,sha256:940197b8001a1309109a52f2d51d1b3eb25d1db49950b24705dc8641f1c19502,data/qa/squad_dev.jsonl,run.py/custom_squad_postprocess,squad_dev,80.49195837275307,88.22890210142387,,bert-base-uncased,bert_base,10570,3.0,results/round3e_bert_base/predictions/bert_base__full__frac1__seed100__same_epochs__squad_dev.jsonl,bert_base__full__frac1__seed100__same_epochs__squad_dev,100,,1.0,87599,same_epochs,sha256:b6437a4d09a830d1e981cbffaeec7290aba72a15e419289db24e250f5ee775b1,data/qa/squad_train.jsonl,bert_base__full__frac1__seed100__same_epochs,full,results/round3e_bert_base/metrics/raw/bert_base__full__frac1__seed100__same_epochs__squad_dev.json,22.46233224765713,21.390834777247456,14.091647570624346,13.22838814331827
joint,results/round3e_bert_base/configs/bert_base__full__frac1__seed13__same_epochs.yaml,2026-05-23T00:33:31Z,sha256:fe4b4d10a7d1a5afed58183078a4fe10820af5537d4e28a82cab990673fb0d6c,data/qa/addonesent.jsonl,run.py/custom_squad_postprocess,addonesent,67.76720761052043,74.69041532046163,,bert-base-uncased,bert_base,1787,3.0,results/round3e_bert_base/predictions/bert_base__full__frac1__seed13__same_epochs__addonesent.jsonl,bert_base__full__frac1__seed13__same_epochs__addonesent,13,,1.0,87599,same_epochs,sha256:b6437a4d09a830d1e981cbffaeec7290aba72a15e419289db24e250f5ee775b1,data/qa/squad_train.jsonl,bert_base__full__frac1__seed13__same_epochs,full,results/round3e_bert_base/metrics/raw/bert_base__full__frac1__seed13__same_epochs__addonesent.json,22.272071397156196,21.562297364812437,13.640688988062038,13.008572900359425
joint,results/round3e_bert_base/configs/bert_base__full__frac1__seed13__same_epochs.yaml,2026-05-23T00:32:24Z,sha256:698ce6f7c1779b1b83d253f1c1b3fc2058f278ec4e656dae445dc5c7a7de98df,data/qa/addsent.jsonl,run.py/custom_squad_postprocess,addsent,59.21348314606742,66.05903291136747,,bert-base-uncased,bert_base,3560,3.0,results/round3e_bert_base/predictions/bert_base__full__frac1__seed13__same_epochs__addsent.jsonl,bert_base__full__frac1__seed13__same_epochs__addsent,13,,1.0,87599,same_epochs,sha256:b6437a4d09a830d1e981cbffaeec7290aba72a15e419289db24e250f5ee775b1,data/qa/squad_train.jsonl,bert_base__full__frac1__seed13__same_epochs,full,results/round3e_bert_base/metrics/raw/bert_base__full__frac1__seed13__same_epochs__addsent.json,22.272071397156196,21.562297364812437,13.640688988062038,13.008572900359425
joint,results/round3e_bert_base/configs/bert_base__full__frac1__seed13__same_epochs.yaml,2026-05-23T00:31:17Z,sha256:940197b8001a1309109a52f2d51d1b3eb25d1db49950b24705dc8641f1c19502,data/qa/squad_dev.jsonl,run.py/custom_squad_postprocess,squad_dev,80.77578051087986,88.33110430852366,,bert-base-uncased,bert_base,10570,3.0,results/round3e_bert_base/predictions/bert_base__full__frac1__seed13__same_epochs__squad_dev.jsonl,bert_base__full__frac1__seed13__same_epochs__squad_dev,13,,1.0,87599,same_epochs,sha256:b6437a4d09a830d1e981cbffaeec7290aba72a15e419289db24e250f5ee775b1,data/qa/squad_train.jsonl,bert_base__full__frac1__seed13__same_epochs,full,results/round3e_bert_base/metrics/raw/bert_base__full__frac1__seed13__same_epochs__squad_dev.json,22.272071397156196,21.562297364812437,13.640688988062038,13.008572900359425
joint,results/round3e_bert_base/configs/bert_base__full__frac1__seed21__same_epochs.yaml,2026-05-23T00:53:04Z,sha256:fe4b4d10a7d1a5afed58183078a4fe10820af5537d4e28a82cab990673fb0d6c,data/qa/addonesent.jsonl,run.py/custom_squad_postprocess,addonesent,68.27084499160604,75.30283684943451,,bert-base-uncased,bert_base,1787,3.0,results/round3e_bert_base/predictions/bert_base__full__frac1__seed21__same_epochs__addonesent.jsonl,bert_base__full__frac1__seed21__same_epochs__addonesent,21,,1.0,87599,same_epochs,sha256:b6437a4d09a830d1e981cbffaeec7290aba72a15e419289db24e250f5ee775b1,data/qa/squad_train.jsonl,bert_base__full__frac1__seed21__same_epochs,full,results/round3e_bert_base/metrics/raw/bert_base__full__frac1__seed21__same_epochs__addonesent.json,20.95144701431103,20.140343137775986,13.205668613184088,12.62792511246208
joint,results/round3e_bert_base/configs/bert_base__full__frac1__seed21__same_epochs.yaml,2026-05-23T00:52:05Z,sha256:698ce6f7c1779b1b83d253f1c1b3fc2058f278ec4e656dae445dc5c7a7de98df,data/qa/addsent.jsonl,run.py/custom_squad_postprocess,addsent,60.758426966292134,67.55705844830757,,bert-base-uncased,bert_base,3560,3.0,results/round3e_bert_base/predictions/bert_base__full__frac1__seed21__same_epochs__addsent.jsonl,bert_base__full__frac1__seed21__same_epochs__addsent,21,,1.0,87599,same_epochs,sha256:b6437a4d09a830d1e981cbffaeec7290aba72a15e419289db24e250f5ee775b1,data/qa/squad_train.jsonl,bert_base__full__frac1__seed21__same_epochs,full,results/round3e_bert_base/metrics/raw/bert_base__full__frac1__seed21__same_epochs__addsent.json,20.95144701431103,20.140343137775986,13.205668613184088,12.62792511246208
joint,results/round3e_bert_base/configs/bert_base__full__frac1__seed21__same_epochs.yaml,2026-05-23T00:50:59Z,sha256:940197b8001a1309109a52f2d51d1b3eb25d1db49950b24705dc8641f1c19502,data/qa/squad_dev.jsonl,run.py/custom_squad_postprocess,squad_dev,80.89877010406812,88.5085054626186,,bert-base-uncased,bert_base,10570,3.0,results/round3e_bert_base/predictions/bert_base__full__frac1__seed21__same_epochs__squad_dev.jsonl,bert_base__full__frac1__seed21__same_epochs__squad_dev,21,,1.0,87599,same_epochs,sha256:b6437a4d09a830d1e981cbffaeec7290aba72a15e419289db24e250f5ee775b1,data/qa/squad_train.jsonl,bert_base__full__frac1__seed21__same_epochs,full,results/round3e_bert_base/metrics/raw/bert_base__full__frac1__seed21__same_epochs__squad_dev.json,20.95144701431103,20.140343137775986,13.205668613184088,12.62792511246208
joint,results/round3e_bert_base/configs/bert_base__full__frac1__seed42__same_epochs.yaml,2026-05-23T00:56:33Z,sha256:fe4b4d10a7d1a5afed58183078a4fe10820af5537d4e28a82cab990673fb0d6c,data/qa/addonesent.jsonl,run.py/custom_squad_postprocess,addonesent,66.48013430330163,73.46737533915348,,bert-base-uncased,bert_base,1787,3.0,results/round3e_bert_base/predictions/bert_base__full__frac1__seed42__same_epochs__addonesent.jsonl,bert_base__full__frac1__seed42__same_epochs__addonesent,42,,1.0,87599,same_epochs,sha256:b6437a4d09a830d1e981cbffaeec7290aba72a15e419289db24e250f5ee775b1,data/qa/squad_train.jsonl,bert_base__full__frac1__seed42__same_epochs,full,results/round3e_bert_base/metrics/raw/bert_base__full__frac1__seed42__same_epochs__addonesent.json,23.8054963938351,23.061691452382725,15.153150788829947,14.418635800766495
